,From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
84,Austria,Sweden,3,5,4,10,4,3,4,8.0,7.0
85,Austria,Germany,17,21,24,19,18,23,9,,2.0
86,Austria,France,5,3,3,18,3,4,10,7.0,1.0
87,Austria,Poland,20,25,25,23,25,25,1,,12.0
88,Austria,Australia,2,1,1,1,2,1,8,12.0,3.0
89,Austria,Cyprus,24,19,21,20,21,24,16,,
90,Austria,Serbia,13,13,23,24,24,22,7,,4.0
91,Austria,Lithuania,16,6,6,16,10,10,20,1.0,
92,Austria,Croatia,8,9,5,5,8,5,19,6.0,
93,Austria,Russia,21,8,8,4,6,8,3,3.0,8.0
94,Austria,Spain,19,20,20,3,11,15,15,,
95,Austria,Latvia,18,24,19,22,13,21,18,,
96,Austria,Ukraine,15,15,16,13,23,16,2,,10.0
97,Austria,Malta,11,2,2,2,1,2,25,10.0,
98,Austria,Georgia,25,23,15,14,17,20,21,,
99,Austria,United Kingdom,7,22,22,21,14,18,22,,
100,Austria,Armenia,4,4,18,15,12,9,12,2.0,
101,Azerbaijan,Belgium,17,11,23,23,23,22,16,,
102,Azerbaijan,Czech Republic,10,23,14,18,10,16,20,,
103,Azerbaijan,The Netherlands,4,14,21,11,16,13,19,,
104,Azerbaijan,Hungary,3,22,8,6,3,7,4,4.0,7.0
105,Azerbaijan,Italy,13,21,19,19,21,21,13,,
106,Azerbaijan,Israel,6,6,4,7,20,8,5,3.0,6.0
107,Azerbaijan,Bulgaria,7,2,6,5,9,3,3,8.0,8.0
108,Azerbaijan,Sweden,23,16,18,16,17,20,12,,
109,Azerbaijan,Germany,20,19,17,24,22,23,22,,
110,Azerbaijan,France,12,9,5,20,18,12,7,,4.0
111,Azerbaijan,Poland,14,4,11,10,6,9,8,2.0,3.0
112,Azerbaijan,Australia,11,7,3,8,5,4,9,7.0,2.0
113,Azerbaijan,Cyprus,16,20,22,12,19,19,17,,
114,Azerbaijan,Serbia,21,15,10,21,15,18,24,,
115,Azerbaijan,Lithuania,8,12,7,9,4,6,18,5.0,
116,Azerbaijan,Croatia,9,8,20,14,8,11,21,,
117,Azerbaijan,Russia,1,1,1,1,1,1,1,12.0,12.0
118,Azerbaijan,Spain,15,10,12,15,7,10,15,1.0,
119,Azerbaijan,Latvia,22,13,15,17,13,17,14,,
120,Azerbaijan,Ukraine,2,3,2,2,2,2,2,10.0,10.0
121,Azerbaijan,Malta,5,5,9,3,14,5,6,6.0,5.0
122,Azerbaijan,Georgia,24,24,24,22,24,24,10,,1.0
123,Azerbaijan,Austria,18,18,13,13,11,15,11,,
124,Azerbaijan,United Kingdom,19,17,16,4,12,14,23,,
125,Azerbaijan,Armenia,25,25,25,25,25,25,25,,
126,Belarus,Belgium,10,7,7,4,9,7,18,4.0,
127,Belarus,Czech Republic,22,24,17,16,19,20,25,,
128,Belarus,The Netherlands,12,11,6,12,18,11,21,,
129,Belarus,Azerbaijan,13,12,12,11,8,9,3,2.0,8.0
130,Belarus,Hungary,7,25,18,6,10,13,8,,3.0
131,Belarus,Italy,23,10,23,24,17,19,19,,
132,Belarus,Israel,11,23,22,13,12,16,16,,
133,Belarus,Bulgaria,8,9,13,17,11,10,7,1.0,4.0
134,Belarus,Sweden,3,3,3,5,3,3,9,8.0,2.0
135,Belarus,Germany,25,19,24,19,21,23,20,,
136,Belarus,France,19,20,19,20,14,18,14,,
137,Belarus,Poland,16,21,5,9,22,14,5,,6.0
138,Belarus,Australia,9,4,8,2,7,5,10,6.0,1.0
139,Belarus,Cyprus,14,15,14,22,23,17,11,,
140,Belarus,Serbia,20,22,21,21,16,22,24,,
141,Belarus,Lithuania,2,8,1,1,4,2,12,10.0,
142,Belarus,Croatia,17,16,26,14,25,21,23,,
143,Belarus,Russia,1,1,2,3,2,1,1,12.0,12.0
144,Belarus,Spain,15,5,10,18,15,12,17,,
145,Belarus,Latvia,21,17,25,23,24,24,6,,5.0
146,Belarus,Ukraine,4,6,4,7,1,4,2,7.0,10.0
147,Belarus,Malta,6,2,9,8,6,6,22,5.0,
148,Belarus,Georgia,18,18,11,15,13,15,15,,
149,Belarus,Austria,26,13,20,26,26,26,13,,
150,Belarus,United Kingdom,24,26,15,25,20,25,26,,
151,Belarus,Armenia,5,14,16,10,5,8,4,3.0,7.0
152,Belgium,Czech Republic,13,14,8,8,9,10,23,1.0,
153,Belgium,The Netherlands,3,4,13,7,10,7,2,4.0,10.0
154,Belgium,Azerbaijan,24,18,24,19,20,24,22,,
155,Belgium,Hungary,22,25,21,14,11,20,19,,
156,Belgium,Italy,2,6,5,1,3,2,13,10.0,
157,Belgium,Israel,6,8,15,15,7,9,17,2.0,
158,Belgium,Bulgaria,5,7,10,6,8,5,6,6.0,5.0
159,Belgium,Sweden,25,16,19,20,24,23,10,,1.0
160,Belgium,Germany,16,17,9,21,12,14,21,,
161,Belgium,France,4,1,1,12,16,3,3,8.0,8.0
162,Belgium,Poland,18,13,25,16,19,19,1,,12.0
163,Belgium,Australia,1,2,2,3,1,1,7,12.0,4.0
164,Belgium,Cyprus,17,20,11,22,14,18,14,,
165,Belgium,Serbia,14,12,20,23,13,16,24,,
166,Belgium,Lithuania,7,21,16,17,18,15,12,,
167,Belgium,Croatia,19,22,18,9,15,17,25,,
168,Belgium,Russia,15,5,7,10,17,11,5,,6.0
169,Belgium,Spain,8,11,6,24,6,12,11,,
170,Belgium,Latvia,21,19,22,11,25,22,16,,
171,Belgium,Ukraine,20,10,4,5,2,8,9,3.0,2.0
172,Belgium,Malta,10,24,17,25,21,21,15,,
173,Belgium,Georgia,12,3,14,2,5,4,20,7.0,
174,Belgium,Austria,11,15,3,4,4,6,8,5.0,3.0
175,Belgium,United Kingdom,9,9,12,13,22,13,18,,
176,Belgium,Armenia,23,23,23,18,23,25,4,,7.0
177,Bosnia & Herzegovina,Belgium,14,16,12,6,17,12,15,,
178,Bosnia & Herzegovina,Czech Republic,3,6,8,4,5,5,20,6.0,
179,Bosnia & Herzegovina,The Netherlands,18,17,22,22,22,22,21,,
180,Bosnia & Herzegovina,Azerbaijan,19,5,13,10,15,10,3,1.0,8.0
181,Bosnia & Herzegovina,Hungary,12,19,14,13,13,13,10,,1.0
182,Bosnia & Herzegovina,Italy,22,23,25,23,18,25,18,,
183,Bosnia & Herzegovina,Israel,20,15,26,11,16,18,24,,
184,Bosnia & Herzegovina,Bulgaria,4,12,5,12,11,8,9,3.0,2.0
185,Bosnia & Herzegovina,Sweden,24,20,15,14,20,19,11,,
186,Bosnia & Herzegovina,Germany,25,14,11,15,12,16,16,,
187,Bosnia & Herzegovina,France,7,4,4,8,3,4,7,7.0,4.0
188,Bosnia & Herzegovina,Poland,15,21,16,21,21,20,14,,
189,Bosnia & Herzegovina,Australia,2,1,2,5,2,2,8,10.0,3.0
190,Bosnia & Herzegovina,Cyprus,13,8,17,24,19,17,13,,
191,Bosnia & Herzegovina,Serbia,6,7,3,1,7,3,1,8.0,12.0
192,Bosnia & Herzegovina,Lithuania,26,25,21,9,25,24,23,,
193,Bosnia & Herzegovina,Croatia,9,9,9,3,8,7,2,4.0,10.0
194,Bosnia & Herzegovina,Russia,8,3,10,7,6,6,5,5.0,6.0
195,Bosnia & Herzegovina,Spain,16,18,7,25,9,15,17,,
196,Bosnia & Herzegovina,Latvia,11,22,6,16,10,11,22,,
197,Bosnia & Herzegovina,Ukraine,1,2,1,2,1,1,4,12.0,7.0
198,Bosnia & Herzegovina,Malta,10,11,18,18,14,14,19,,
199,Bosnia & Herzegovina,Georgia,23,24,19,17,23,23,26,,
200,Bosnia & Herzegovina,Austria,21,26,23,26,26,26,6,,5.0
201,Bosnia & Herzegovina,United Kingdom,17,13,24,19,24,21,25,,
202,Bosnia & Herzegovina,Armenia,5,10,20,20,4,9,12,2.0,
203,Bulgaria,Belgium,4,4,1,3,2,2,13,10.0,
204,Bulgaria,Czech Republic,16,22,16,15,12,16,24,,
205,Bulgaria,The Netherlands,17,11,18,5,8,9,23,2.0,
206,Bulgaria,Azerbaijan,18,12,21,22,13,18,10,,1.0
207,Bulgaria,Hungary,23,9,15,24,25,21,16,,
208,Bulgaria,Italy,22,24,22,18,17,24,18,,
209,Bulgaria,Israel,20,8,8,13,15,12,9,,2.0
210,Bulgaria,Sweden,10,17,19,25,22,20,8,,3.0
211,Bulgaria,Germany,24,14,23,21,21,25,22,,
212,Bulgaria,France,15,21,20,20,20,22,12,,
213,Bulgaria,Poland,11,23,12,7,10,11,5,,6.0
214,Bulgaria,Australia,5,3,2,4,1,3,6,8.0,5.0
215,Bulgaria,Cyprus,21,19,24,19,19,23,4,,7.0
216,Bulgaria,Serbia,2,7,4,11,7,6,11,5.0,
217,Bulgaria,Lithuania,12,6,9,17,18,10,15,1.0,
218,Bulgaria,Croatia,19,18,17,16,6,15,25,,
219,Bulgaria,Russia,1,10,5,10,4,5,1,6.0,12.0
220,Bulgaria,Spain,7,16,10,6,11,7,17,4.0,
221,Bulgaria,Latvia,8,13,11,9,23,14,14,,
222,Bulgaria,Ukraine,25,5,7,23,24,17,2,,10.0
223,Bulgaria,Malta,9,2,13,1,5,4,19,7.0,
224,Bulgaria,Georgia,6,20,6,8,16,8,20,3.0,
225,Bulgaria,Austria,13,25,25,14,14,19,7,,4.0
226,Bulgaria,United Kingdom,14,15,14,12,9,13,21,,
227,Bulgaria,Armenia,3,1,3,2,3,1,3,12.0,8.0
228,Croatia,Belgium,6,18,18,15,6,12,18,,
229,Croatia,Czech Republic,18,7,2,1,2,2,20,10.0,
230,Croatia,The Netherlands,1,21,13,21,9,14,15,,
231,Croatia,Azerbaijan,17,9,20,9,20,19,14,,
232,Croatia,Hungary,11,15,12,2,3,6,8,5.0,3.0
233,Croatia,Italy,5,3,5,17,16,8,11,3.0,
234,Croatia,Israel,3,8,6,8,12,4,22,7.0,
235,Croatia,Bulgaria,25,16,19,16,15,20,10,,1.0
236,Croatia,Sweden,10,19,7,19,17,18,4,,7.0
237,Croatia,Germany,14,23,25,25,25,24,16,,
238,Croatia,France,2,4,11,10,7,3,9,8.0,2.0
239,Croatia,Poland,16,10,21,18,5,17,7,,4.0
240,Croatia,Australia,4,6,8,4,1,1,6,12.0,5.0
241,Croatia,Cyprus,9,17,10,11,4,10,13,1.0,
242,Croatia,Serbia,12,11,4,7,14,9,1,2.0,12.0
243,Croatia,Lithuania,8,20,14,14,11,15,23,,
244,Croatia,Russia,19,2,3,6,10,5,3,6.0,8.0
245,Croatia,Spain,22,22,22,20,21,22,19,,
246,Croatia,Latvia,23,5,15,5,8,11,17,,
247,Croatia,Ukraine,24,12,1,12,19,16,2,,10.0
248,Croatia,Malta,7,14,16,13,13,13,24,,
249,Croatia,Georgia,21,25,23,24,24,25,21,,
250,Croatia,Austria,20,13,17,22,22,21,5,,6.0
251,Croatia,United Kingdom,13,24,24,23,23,23,25,,
252,Croatia,Armenia,15,1,9,3,18,7,12,4.0,
253,Cyprus,Belgium,16,19,22,22,18,23,17,,
254,Cyprus,Czech Republic,10,13,19,13,8,11,24,,
255,Cyprus,The Netherlands,23,14,18,23,24,24,20,,
256,Cyprus,Azerbaijan,6,8,16,6,22,9,11,2.0,
257,Cyprus,Hungary,19,7,5,15,6,7,7,4.0,4.0
258,Cyprus,Italy,11,10,12,9,11,8,12,3.0,
259,Cyprus,Israel,7,11,6,4,9,6,15,5.0,
260,Cyprus,Bulgaria,15,12,24,21,12,17,1,,12.0
261,Cyprus,Sweden,13,15,7,16,13,14,10,,1.0
262,Cyprus,Germany,9,21,23,17,20,20,22,,
263,Cyprus,France,14,6,2,5,5,4,5,7.0,6.0
264,Cyprus,Poland,24,24,25,25,25,25,9,,2.0
265,Cyprus,Australia,2,3,3,2,3,2,6,10.0,5.0
266,Cyprus,Serbia,5,16,8,24,10,13,16,,
267,Cyprus,Lithuania,18,17,10,3,17,15,8,,3.0
268,Cyprus,Croatia,3,18,15,11,15,10,25,1.0,
269,Cyprus,Russia,1,1,1,1,1,1,2,12.0,10.0
270,Cyprus,Spain,21,23,9,14,14,16,21,,
271,Cyprus,Latvia,20,5,13,18,7,12,14,,
272,Cyprus,Ukraine,22,4,20,19,19,18,4,,7.0
273,Cyprus,Malta,8,9,4,7,4,5,18,6.0,
274,Cyprus,Georgia,25,22,14,12,21,22,23,,
275,Cyprus,Austria,17,25,21,10,16,19,13,,
276,Cyprus,United Kingdom,12,20,17,20,23,21,19,,
277,Cyprus,Armenia,4,2,11,8,2,3,3,8.0,8.0
278,Czech Republic,Belgium,13,8,6,12,14,9,20,2.0,
279,Czech Republic,The Netherlands,2,6,3,7,6,4,18,7.0,
280,Czech Republic,Azerbaijan,20,12,12,17,16,17,5,,6.0
281,Czech Republic,Hungary,4,2,2,6,2,2,8,10.0,3.0
282,Czech Republic,Italy,9,20,19,8,18,16,22,,
283,Czech Republic,Israel,14,23,17,23,23,21,16,,
284,Czech Republic,Bulgaria,21,7,18,11,11,14,6,,5.0
285,Czech Republic,Sweden,1,1,1,1,1,1,9,12.0,2.0
286,Czech Republic,Germany,24,22,23,16,20,22,19,,
287,Czech Republic,France,7,13,4,5,4,6,11,5.0,
288,Czech Republic,Poland,23,21,21,22,22,23,4,,7.0
289,Czech Republic,Australia,3,10,10,15,17,11,10,,1.0
290,Czech Republic,Cyprus,22,18,25,18,9,19,12,,
291,Czech Republic,Serbia,25,19,16,19,21,20,13,,
292,Czech Republic,Lithuania,8,14,9,10,8,8,15,3.0,
293,Czech Republic,Croatia,5,3,8,2,3,3,25,8.0,
294,Czech Republic,Russia,18,25,24,25,25,25,2,,10.0
295,Czech Republic,Spain,10,17,15,20,10,15,17,,
296,Czech Republic,Latvia,11,11,11,14,7,10,14,1.0,
297,Czech Republic,Ukraine,19,24,22,24,24,24,1,,12.0
298,Czech Republic,Malta,12,4,7,4,5,5,24,6.0,
299,Czech Republic,Georgia,6,9,20,13,15,13,21,,
300,Czech Republic,Austria,16,16,5,9,12,12,7,,4.0
301,Czech Republic,United Kingdom,15,5,13,3,13,7,23,4.0,
302,Czech Republic,Armenia,17,15,14,21,19,18,3,,8.0
303,Denmark,Belgium,3,22,8,8,3,3,3,8.0,8.0
304,Denmark,Czech Republic,17,10,16,19,19,19,25,,
305,Denmark,The Netherlands,2,25,12,6,4,4,4,7.0,7.0
306,Denmark,Azerbaijan,23,14,25,26,13,26,22,,
307,Denmark,Hungary,16,12,21,20,22,24,17,,
308,Denmark,Italy,14,18,13,11,12,12,14,,
309,Denmark,Israel,11,19,2,16,9,9,16,2.0,
310,Denmark,Bulgaria,7,16,4,17,6,5,11,6.0,
311,Denmark,Sweden,5,20,17,10,2,7,1,4.0,12.0
312,Denmark,Germany,20,6,14,24,23,23,19,,
313,Denmark,France,6,23,18,2,20,14,9,,2.0
314,Denmark,Poland,21,17,15,18,26,25,6,,5.0
315,Denmark,Australia,1,26,1,1,1,2,2,10.0,10.0
316,Denmark,Cyprus,26,9,9,21,10,16,18,,
317,Denmark,Serbia,25,5,22,12,14,18,24,,
318,Denmark,Lithuania,13,15,7,7,11,6,5,5.0,6.0
319,Denmark,Croatia,12,3,23,22,25,22,26,,
320,Denmark,Russia,9,24,11,9,15,13,7,,4.0
321,Denmark,Spain,22,21,6,3,8,10,12,1.0,
322,Denmark,Latvia,18,13,19,4,16,15,13,,
323,Denmark,Ukraine,4,2,3,14,5,1,8,12.0,3.0
324,Denmark,Malta,19,8,24,13,17,20,23,,
325,Denmark,Georgia,24,1,10,23,24,21,20,,
326,Denmark,Austria,10,7,26,15,18,17,10,,1.0
327,Denmark,United Kingdom,8,11,5,25,7,8,15,3.0,
328,Denmark,Armenia,15,4,20,5,21,11,21,,
329,Estonia,Belgium,13,18,17,4,12,14,19,,
330,Estonia,Czech Republic,18,23,5,13,19,17,25,,
331,Estonia,The Netherlands,8,4,4,7,13,5,12,6.0,
332,Estonia,Azerbaijan,14,15,20,21,18,19,18,,
333,Estonia,Hungary,19,2,19,26,11,16,11,,
334,Estonia,Italy,10,6,10,24,9,11,13,,
335,Estonia,Israel,25,21,18,25,14,24,22,,
336,Estonia,Bulgaria,20,17,24,17,21,22,14,,
337,Estonia,Sweden,2,3,1,1,1,1,2,12.0,10.0
338,Estonia,Germany,21,20,25,16,22,25,23,,
339,Estonia,France,17,1,9,15,15,10,9,1.0,2.0
340,Estonia,Poland,22,9,23,22,23,23,10,,1.0
341,Estonia,Australia,3,11,2,5,7,2,7,10.0,4.0
342,Estonia,Cyprus,12,5,13,19,6,7,8,4.0,3.0
343,Estonia,Serbia,26,24,26,20,24,26,26,,
344,Estonia,Lithuania,7,14,8,9,2,6,6,5.0,5.0
345,Estonia,Croatia,11,19,16,12,5,13,24,,
346,Estonia,Russia,16,10,11,18,26,18,1,,12.0
347,Estonia,Spain,24,25,15,14,10,20,17,,
348,Estonia,Latvia,4,7,7,8,4,3,4,8.0,7.0
349,Estonia,Ukraine,1,8,3,3,20,4,3,7.0,8.0
350,Estonia,Malta,6,22,6,6,17,9,20,2.0,
351,Estonia,Georgia,23,26,22,2,3,15,15,,
352,Estonia,Austria,9,16,21,23,25,21,5,,6.0
353,Estonia,United Kingdom,5,13,12,10,16,8,21,3.0,
354,Estonia,Armenia,15,12,14,11,8,12,16,,
355,F.Y.R. Macedonia,Belgium,19,7,11,4,13,7,7,4.0,4.0
356,F.Y.R. Macedonia,Czech Republic,20,15,10,11,18,17,25,,
357,F.Y.R. Macedonia,The Netherlands,5,8,24,2,24,9,19,2.0,
358,F.Y.R. Macedonia,Azerbaijan,21,16,8,12,10,10,24,1.0,
359,F.Y.R. Macedonia,Hungary,22,24,12,13,8,20,14,,
360,F.Y.R. Macedonia,Italy,11,17,21,14,21,22,10,,1.0
361,F.Y.R. Macedonia,Israel,14,6,7,15,12,6,16,5.0,
362,F.Y.R. Macedonia,Bulgaria,6,4,4,3,7,2,2,10.0,10.0
363,F.Y.R. Macedonia,Sweden,10,13,23,1,22,13,15,,
364,F.Y.R. Macedonia,Germany,18,25,17,16,23,24,23,,
365,F.Y.R. Macedonia,France,12,14,19,17,11,16,11,,
366,F.Y.R. Macedonia,Poland,2,23,9,18,17,12,9,,2.0
367,F.Y.R. Macedonia,Australia,7,3,3,9,3,3,8,8.0,3.0
368,F.Y.R. Macedonia,Cyprus,23,18,25,19,25,25,17,,
369,F.Y.R. Macedonia,Serbia,3,2,2,20,1,4,1,7.0,12.0
370,F.Y.R. Macedonia,Lithuania,24,22,5,21,5,19,18,,
371,F.Y.R. Macedonia,Croatia,9,11,6,7,14,5,6,6.0,5.0
372,F.Y.R. Macedonia,Russia,1,9,18,22,19,11,3,,8.0
373,F.Y.R. Macedonia,Spain,13,21,20,6,9,14,20,,
374,F.Y.R. Macedonia,Latvia,17,5,22,10,6,8,13,3.0,
375,F.Y.R. Macedonia,Ukraine,4,1,1,5,2,1,5,12.0,6.0
376,F.Y.R. Macedonia,Malta,25,19,14,23,15,23,21,,
377,F.Y.R. Macedonia,Georgia,26,20,26,24,26,26,26,,
378,F.Y.R. Macedonia,Austria,8,10,13,25,20,18,12,,
379,F.Y.R. Macedonia,United Kingdom,15,26,16,8,16,21,22,,
380,F.Y.R. Macedonia,Armenia,16,12,15,26,4,15,4,,7.0
381,Finland,Belgium,18,22,14,19,17,22,17,,
382,Finland,Czech Republic,14,6,7,16,7,8,22,3.0,
383,Finland,The Netherlands,4,2,8,7,8,2,13,10.0,
384,Finland,Azerbaijan,23,25,16,21,19,23,24,,
385,Finland,Hungary,21,23,21,25,20,25,12,,
386,Finland,Italy,16,11,10,3,12,9,16,2.0,
387,Finland,Israel,12,7,12,4,1,4,14,7.0,
388,Finland,Bulgaria,9,17,17,9,22,15,7,,4.0
389,Finland,Sweden,2,1,3,1,6,1,2,12.0,10.0
390,Finland,Germany,13,19,24,10,14,19,25,,
391,Finland,France,17,20,4,11,3,10,8,1.0,3.0
392,Finland,Poland,10,21,11,22,21,20,6,,5.0
393,Finland,Australia,3,3,15,8,4,3,4,8.0,7.0
394,Finland,Cyprus,24,26,25,24,26,26,10,,1.0
395,Finland,Serbia,22,24,13,26,24,24,26,,
396,Finland,Lithuania,5,14,2,17,2,5,11,6.0,
397,Finland,Croatia,11,15,23,20,10,18,20,,
398,Finland,Russia,26,10,6,18,11,14,3,,8.0
399,Finland,Spain,19,12,1,12,23,12,15,,
400,Finland,Latvia,7,16,26,14,5,13,9,,2.0
401,Finland,Ukraine,8,5,22,6,15,11,1,,12.0
402,Finland,Malta,6,8,5,5,18,6,23,5.0,
403,Finland,Georgia,25,18,9,13,25,21,19,,
404,Finland,Austria,1,4,20,2,16,7,5,4.0,6.0
405,Finland,United Kingdom,20,9,19,15,13,16,21,,
406,Finland,Armenia,15,13,18,23,9,17,18,,
407,France,Belgium,16,19,10,16,5,12,7,,4.0
408,France,Czech Republic,17,11,12,12,14,11,23,,
409,France,The Netherlands,2,6,11,8,3,4,15,7.0,
410,France,Azerbaijan,22,14,13,15,4,14,20,,
411,France,Hungary,21,13,14,21,11,20,14,,
412,France,Italy,1,9,1,1,13,1,11,12.0,
413,France,Israel,9,23,21,2,22,17,8,,3.0
414,France,Bulgaria,3,3,4,6,10,2,6,10.0,5.0
415,France,Sweden,10,1,5,5,12,6,9,5.0,2.0
416,France,Germany,24,7,8,14,17,16,18,,
417,France,Poland,25,22,25,24,20,25,4,,7.0
418,France,Australia,4,4,3,4,15,5,12,6.0,
419,France,Cyprus,14,16,15,17,16,18,13,,
420,France,Serbia,15,21,22,25,24,22,17,,
421,France,Lithuania,19,12,20,11,18,21,19,,
422,France,Croatia,11,18,16,13,9,13,24,,
423,France,Russia,18,10,9,20,6,10,5,1.0,6.0
424,France,Spain,8,5,7,19,2,8,10,3.0,1.0
425,France,Latvia,23,24,19,23,23,23,22,,
426,France,Ukraine,12,2,24,10,21,15,2,,10.0
427,France,Malta,6,17,6,3,8,7,25,4.0,
428,France,Georgia,20,25,23,22,25,24,21,,
429,France,Austria,7,8,2,9,1,3,3,8.0,8.0
430,France,United Kingdom,5,20,18,18,19,19,16,,
431,France,Armenia,13,15,17,7,7,9,1,2.0,12.0
432,Georgia,Belgium,1,3,3,9,4,2,21,10.0,
433,Georgia,Czech Republic,15,10,13,15,14,12,20,,
434,Georgia,The Netherlands,8,19,24,14,9,15,15,,
435,Georgia,Azerbaijan,16,20,12,19,20,21,4,,7.0
436,Georgia,Hungary,7,21,20,20,13,19,9,,2.0
437,Georgia,Italy,9,22,23,4,15,14,14,,
438,Georgia,Israel,18,11,5,11,8,8,19,3.0,
439,Georgia,Bulgaria,24,23,14,22,25,24,8,,3.0
440,Georgia,Sweden,3,13,4,6,2,5,11,6.0,
