Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry
MITT,"AG Mortgage Investment Trust, Inc.",18.34,508052882.7,2011,n/a,n/a
MITT^A,"AG Mortgage Investment Trust, Inc.",25.35,0,n/a,n/a,n/a
MITT^B,"AG Mortgage Investment Trust, Inc.",24.8999,0,n/a,n/a,n/a
AGCO,AGCO Corporation,58.03,4611806178,n/a,Capital Goods,Industrial Machinery/Components
A,"Agilent Technologies, Inc.",52.33,16866006359,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEM,Agnico Eagle Mines Limited,46.62,10763745180,n/a,Basic Industries,Precious Metals
ADC,Agree Realty Corporation,50.12,1314130362,n/a,Consumer Services,Real Estate Investment Trusts
AGU,Agrium Inc.,92.46,12775752960,n/a,Basic Industries,Agricultural Chemicals
AL,Air Lease Corporation,35.54,3660715816,2011,Technology,Diversified Commercial Services
APD,"Air Products and Chemicals, Inc.",134.3,29222330554,n/a,Basic Industries,Major Chemicals
AYR,Aircastle Limited,22.71,1787683850,2006,Technology,Diversified Commercial Services
AKS,AK Steel Holding Corporation,6.38,2008330482,n/a,Basic Industries,Steel/Iron Ore
ALP^O,Alabama Power Company,28.25,0,n/a,Public Utilities,Electric Utilities: Central
ALG,"Alamo Group, Inc.",72.22,831611855.6,n/a,Capital Goods,Industrial Machinery/Components
AGI,Alamos Gold Inc.,8.2,2450240499,2015,Basic Industries,Precious Metals
ALK,"Alaska Air Group, Inc.",86.33,10678734989,n/a,Transportation,Air Freight/Delivery Services
AIN,Albany International Corporation,43.9,1411789012,n/a,Basic Industries,Textiles
ALB,Albemarle Corporation,103.62,11664121664,n/a,Basic Industries,Major Chemicals
AA,Alcoa Corporation,30.99,5709015236,2016,Capital Goods,Metal Fabrications
ALR,Alere Inc.,42.31,3681082460,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ALR^B,Alere Inc.,340.98,0,n/a,n/a,n/a
ALEX,"Alexander & Baldwin Holdings, Inc.",43.95,2157131925,n/a,Finance,Real Estate
ALX,"Alexander&#39;s, Inc.",434.6,2219628234,n/a,Consumer Services,Real Estate Investment Trusts
ARE,"Alexandria Real Estate Equities, Inc.",113.54,10340473495,n/a,Consumer Services,Real Estate Investment Trusts
ARE^D,"Alexandria Real Estate Equities, Inc.",35.063,0,n/a,n/a,n/a
AQN,Algonquin Power & Utilities Corp.,9.66,3694645623,2016,Public Utilities,Electric Utilities: Central
BABA,Alibaba Group Holding Limited,110.21,2.75525E+11,2014,Miscellaneous,Business Services
Y,Alleghany Corporation,598.75,9230469509,n/a,Finance,Property-Casualty Insurers
ATI,Allegheny Technologies Incorporated,17.14,1865260363,n/a,Basic Industries,Steel/Iron Ore
ALLE,Allegion plc,75.11,7170865191,2013,Consumer Services,Diversified Commercial Services
AGN,Allergan plc.,237.83,79811852345,2013,Health Care,Major Pharmaceuticals
AGN^A,Allergan plc.,849.36,0,n/a,n/a,n/a
ALE,"Allete, Inc.",68.82,3500159461,n/a,Public Utilities,Power Generation
AKP,Alliance California Municipal Income Fund Inc,13.58,116172391.4,2002,n/a,n/a
ADS,Alliance Data Systems Corporation,234.91,13137412458,2001,Miscellaneous,Business Services
AFB,Alliance National Municipal Income Fund Inc,13.61,391218579,2002,n/a,n/a
AOI,"Alliance One International, Inc.",12.6,122656690.8,n/a,Consumer Services,Farming/Seeds/Milling
AWF,Alliance World Dollar Government Fund II,12.65,1090805414,1993,n/a,n/a
AB,AllianceBernstein Holding L.P.,22.95,2215872761,n/a,Finance,Investment Managers
LNT,Alliant Energy Corporation,39.62,9020972015,n/a,Public Utilities,Power Generation
NCV,AllianzGI Convertible & Income Fund,6.83,602977869.1,2003,n/a,n/a
NCZ,AllianzGI Convertible & Income Fund II,6.05,450778802.7,2003,n/a,n/a
ACV,AllianzGI Diversified Income & Convertible Fund,20.41,209712137.7,2015,n/a,n/a
NIE,AllianzGI Equity & Convertible Income Fund,19.26,533674665.9,2007,n/a,n/a
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.03,1235264600,2005,Finance,Finance: Consumer Services
AWH,"Allied World Assurance Company Holdings, AG",53.1,4636525478,2006,Finance,Property-Casualty Insurers
ALSN,"Allison Transmission Holdings, Inc.",34.13,5182143977,2012,Capital Goods,Auto Parts:O.E.M.
ALL,Allstate Corporation (The),80.58,29422102153,n/a,Finance,Property-Casualty Insurers
ALL^A,Allstate Corporation (The),25.9,0,n/a,n/a,n/a
ALL^B,Allstate Corporation (The),27.45,0,n/a,n/a,n/a
ALL^C,Allstate Corporation (The),27.01,0,n/a,n/a,n/a
ALL^D,Allstate Corporation (The),27.04,0,n/a,n/a,n/a
ALL^E,Allstate Corporation (The),27.3,0,n/a,n/a,n/a
ALL^F,Allstate Corporation (The),27.45,0,n/a,n/a,n/a
ALLY,Ally Financial Inc.,19.17,8898716818,2014,Finance,Finance: Consumer Services
ALLY^A,Ally Financial Inc.,25.38,0,n/a,n/a,n/a
ALJ,"Alon USA Energy, Inc.",11.22,805159732.7,2005,Energy,Integrated oil Companies
ALDW,"Alon USA Partners, LP",9.03,564557586.6,2012,Energy,Integrated oil Companies
AGD,Alpine Global Dynamic Dividend Fund,9.72,121981937,2006,n/a,n/a
AWP,Alpine Global Premier Properties Fund,5.88,502198751.9,2007,n/a,n/a
AOD,Alpine Total Dynamic Dividend Fund,8.28,890872846.9,2007,n/a,n/a
AYX,"Alteryx, Inc.",17,957449248,2017,Technology,Computer Software: Prepackaged Software
RESI,Altisource Residential Corporation,15,805014465,n/a,Finance,Real Estate
MO,Altria Group,71.3,1.38017E+11,n/a,Consumer Non-Durables,Farming/Seeds/Milling
ACH,Aluminum Corporation of China Limited,12.37,7374399250,2001,Basic Industries,Aluminum
AMBR,"Amber Road, Inc.",7.26,196265221,2014,Technology,Computer Software: Prepackaged Software
ABEV,Ambev S.A.,5.62,88240198455,2013,Consumer Non-Durables,Beverages (Production/Distribution)
AMC,"AMC Entertainment Holdings, Inc.",30.2,3951777723,2013,Consumer Services,Movies/Entertainment
AMFW,Amec Plc Ord,7.13,2803029827,2014,Consumer Services,Military/Government/Technical
AEE,Ameren Corporation,54.99,13342487542,n/a,Public Utilities,Power Generation
AMRC,"Ameresco, Inc.",6.2,281445720.2,2010,Basic Industries,Engineering & Construction
AMOV,"America Movil, S.A.B. de C.V.",14.64,47992848000,n/a,Public Utilities,Telecommunications Equipment
AMX,"America Movil, S.A.B. de C.V.",14.65,48025630000,n/a,Public Utilities,Telecommunications Equipment
AAT,"American Assets Trust, Inc.",43.84,2035549989,2011,Consumer Services,Real Estate Investment Trusts
AXL,"American Axle & Manufacturing Holdings, Inc.",16.68,1282897698,n/a,Capital Goods,Auto Parts:O.E.M.
ACC,American Campus Communities Inc,48,6404920224,2004,Consumer Services,Real Estate Investment Trusts
AEO,"American Eagle Outfitters, Inc.",13.3,2423546322,n/a,Consumer Services,Clothing/Shoe/Accessory Stores
AEP,"American Electric Power Company, Inc.",67.54,33210233275,n/a,Public Utilities,Electric Utilities: Central
AEL,American Equity Investment Life Holding Company,22.52,1988062109,2003,Finance,Life Insurance
AXP,American Express Company,75.8,68213727702,n/a,Finance,Finance: Consumer Services
AFA,"American Financial Group, Inc.",25.5,0,2012,Finance,Property-Casualty Insurers
AFG,"American Financial Group, Inc.",93.29,8171053175,n/a,Finance,Property-Casualty Insurers
AFGE,"American Financial Group, Inc.",26.22,0,2014,Finance,Property-Casualty Insurers
AFGH,"American Financial Group, Inc.",26.13,0,2015,Finance,Property-Casualty Insurers
AFW,"American Financial Group, Inc.",25.62,0,n/a,Finance,Property-Casualty Insurers
AMH,American Homes 4 Rent,23.23,5707555922,2013,Consumer Services,Real Estate Investment Trusts
AMH^A,American Homes 4 Rent,28.53,0,n/a,Consumer Services,Real Estate Investment Trusts
AMH^B,American Homes 4 Rent,28.3613,0,n/a,n/a,n/a
AMH^C,American Homes 4 Rent,28.45,0,n/a,n/a,n/a
AMH^D,American Homes 4 Rent,26.35,0,n/a,n/a,n/a
AMH^E,American Homes 4 Rent,26.19,0,n/a,n/a,n/a
AIG,"American International Group, Inc.",59.55,58174395000,n/a,Finance,Property-Casualty Insurers
AIG.WS,"American International Group, Inc.",n/a,0,n/a,n/a,n/a
AMID,"American Midstream Partners, LP",14.5,747992505,2011,Public Utilities,Natural Gas Distribution
ARL,"American Realty Investors, Inc.",8.14,126286890.4,n/a,Finance,Real Estate
ARA,"American Renal Associates Holdings, Inc",17.32,535100741.8,2016,Health Care,Hospital/Nursing Management
AWR,American States Water Company,44.79,1640039240,n/a,Public Utilities,Water Supply
AMT,American Tower Corporation (REIT),122.6,52374111536,n/a,Consumer Services,Real Estate Investment Trusts
AMT^A,American Tower Corporation (REIT),115.89,0,n/a,n/a,n/a
AMT^B,American Tower Corporation (REIT),114.3,0,n/a,n/a,n/a
AVD,American Vanguard Corporation,16.9,496671734,n/a,Basic Industries,Agricultural Chemicals
AWK,American Water Works,78.57,13963990198,2008,Public Utilities,Water Supply
APU,"AmeriGas Partners, L.P.",46.34,4307588593,n/a,Consumer Services,Other Specialty Stores
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",126.23,19422218385,n/a,Finance,Investment Managers
ABC,AmerisourceBergen Corporation (Holding Co),86.67,18831630386,n/a,Health Care,Other Pharmaceuticals
ANFI,Amira Nature Foods Ltd,5.19,154861882.5,2012,Consumer Non-Durables,Packaged Foods
AGO^E,Assured Guaranty Ltd.,25.6,0,n/a,n/a,n/a
AMN,AMN Healthcare Services Inc,40.1,1919087795,n/a,Technology,Professional Services
AP,Ampco-Pittsburgh Corporation,15.5,190194625.5,n/a,Capital Goods,Fluid Controls
APH,Amphenol Corporation,68.65,21121156117,n/a,Capital Goods,Electrical Products
BETR,"Amplify Snack Brands, inc.",8.81,676349241.5,2015,Consumer Non-Durables,Packaged Foods
AXR,AMREP Corporation,6.84,55253205.36,n/a,Consumer Services,Newspapers/Magazines
AME,"AMTEK, Inc.",53.2,12236760760,n/a,Consumer Durables,Metal Fabrications
AFSI^A,"AmTrust Financial Services, Inc.",21.67,0,n/a,n/a,n/a
AFSI^B,"AmTrust Financial Services, Inc.",22.78,0,n/a,n/a,n/a
AFSI^C,"AmTrust Financial Services, Inc.",22.8,0,n/a,n/a,n/a
AFSI^D,"AmTrust Financial Services, Inc.",22.84,0,n/a,n/a,n/a
AFSI^E,"AmTrust Financial Services, Inc.",23.2522,0,n/a,n/a,n/a
AFSI^F,"AmTrust Financial Services, Inc.",21.67,0,n/a,n/a,n/a
AFSS,"AmTrust Financial Services, Inc.",24.05,0,2015,Finance,Property-Casualty Insurers
AFST,"AmTrust Financial Services, Inc.",24.13,0,2015,Finance,Property-Casualty Insurers
AEUA,Anadarko Petroleum Corporation,44.5,0,2015,Energy,Oil & Gas Production
APC,Anadarko Petroleum Corporation,61.09,34131091862,n/a,Energy,Oil & Gas Production
AU,AngloGold Ashanti Limited,12.99,5302826642,n/a,Basic Industries,Precious Metals
BUD,Anheuser-Busch Inbev SA,109.03,1.75347E+11,n/a,Consumer Non-Durables,Beverages (Production/Distribution)
AXE,Anixter International Inc.,75.8,2510169833,n/a,Consumer Non-Durables,Telecommunications Equipment
NLY,Annaly Capital Management Inc,11.63,11850385162,n/a,Consumer Services,Real Estate Investment Trusts
NLY^A,Annaly Capital Management Inc,25.47,0,n/a,n/a,n/a
NLY^C,Annaly Capital Management Inc,25.227,0,n/a,n/a,n/a
NLY^D,Annaly Capital Management Inc,25.32,0,n/a,n/a,n/a
NLY^E,Annaly Capital Management Inc,25.27,0,n/a,n/a,n/a
AM,Antero Midstream Partners LP,32.43,6025295658,2014,Public Utilities,Natural Gas Distribution
AR,Antero Resources Corporation,22.06,6949042243,2013,Energy,Oil & Gas Production
ANTM,"Anthem, Inc.",164.99,43709918498,n/a,Health Care,Medical Specialities
ANTX,"Anthem, Inc.",49.39,13084628612,2015,Health Care,Medical Specialities
ANH,Anworth Mortgage Asset  Corporation,5.59,535371830.2,n/a,Consumer Services,Real Estate Investment Trusts
ANH^A,Anworth Mortgage Asset  Corporation,26.64,0,n/a,n/a,n/a
ANH^B,Anworth Mortgage Asset  Corporation,27.49,0,n/a,n/a,n/a
ANH^C,Anworth Mortgage Asset  Corporation,24.66,0,n/a,n/a,n/a
AON,Aon plc,118.1,31013149992,n/a,Finance,Specialty Insurers
APA,Apache Corporation,52.37,19919983656,n/a,Energy,Oil & Gas Production
AIV,Apartment Investment and Management Company,43.99,6907194370,1994,Consumer Services,Real Estate Investment Trusts
AIV^A,Apartment Investment and Management Company,26.8,0,n/a,n/a,n/a
ARI,Apollo Commercial Real Estate Finance,18.72,1715150249,2009,Consumer Services,Real Estate Investment Trusts
ARI^A,Apollo Commercial Real Estate Finance,25.607,0,n/a,n/a,n/a
ARI^C,Apollo Commercial Real Estate Finance,25.4,0,n/a,n/a,n/a
APO,"Apollo Global Management, LLC",25.62,10314646126,2011,Finance,Investment Managers
APO^A,"Apollo Global Management, LLC",25.29,0,n/a,n/a,n/a
AIB,Apollo Investment Corporation,25.29,0,n/a,n/a,n/a
AIY,Apollo Investment Corporation,26.15,0,2013,n/a,n/a
AFT,Apollo Senior Floating Rate Fund Inc.,17.4,270971261.4,2011,n/a,n/a
AIF,Apollo Tactical Income Fund Inc.,16.36,236631465.4,2013,n/a,n/a
APLE,"Apple Hospitality REIT, Inc.",19.03,4244641310,2015,Consumer Services,Real Estate Investment Trusts
AIT,"Applied Industrial Technologies, Inc.",58.9,2296413403,n/a,Consumer Durables,Industrial Specialties
ATR,"AptarGroup, Inc.",75.8,4735563613,n/a,Consumer Non-Durables,Plastic Products
WTR,"Aqua America, Inc.",32.7,5806467354,n/a,Public Utilities,Water Supply
WAAS,AquaVenture Holdings Limited,17.45,460474892.7,2016,Public Utilities,Water Supply
ARMK,Aramark,36.11,8894063006,2013,Consumer Services,Restaurants
ABR,Arbor Realty Trust,8.5,436911007.5,2004,Consumer Services,Real Estate Investment Trusts
ABR^A,Arbor Realty Trust,25.68,0,n/a,n/a,n/a
ABR^B,Arbor Realty Trust,25.1751,0,n/a,n/a,n/a
ABR^C,Arbor Realty Trust,25.9529,0,n/a,n/a,n/a
ABRN,Arbor Realty Trust,25.52,0,2014,Consumer Services,Real Estate Investment Trusts
ARC,"ARC Document Solutions, Inc.",3.48,161150152.2,2004,Consumer Services,Professional Services
ARCX,Arc Logistic Partners LP,13.95,271704443,2013,Energy,Oil Refining/Marketing
MT,ArcelorMittal,7.35,22532974887,n/a,Basic Industries,Steel/Iron Ore
ARH^C,Arch Capital Group Ltd.,25.46,0,n/a,n/a,n/a
ARCH,"Arch Coal, Inc.",70.76,1769128712,2016,Energy,Coal Mining
ADM,Archer-Daniels-Midland Company,44.28,25269111867,n/a,Consumer Non-Durables,Packaged Foods
AROC,"Archrock, Inc.",12.45,879078389.7,n/a,Public Utilities,Natural Gas Distribution
ARNC,Arconic Inc.,25.9,11412687189,n/a,Capital Goods,Metal Fabrications
ARNC^B,Arconic Inc.,40.39,0,n/a,n/a,n/a
ARCO,Arcos Dorados Holdings Inc.,8,1685687968,2011,Consumer Services,Restaurants
ARD,Ardagh Group S.A.,21,4911816000,2017,Consumer Durables,Containers/Packaging
ASC,Ardmore Shipping Corporation,7.75,260210977.5,2013,Transportation,Marine Transportation
AFC,Ares Capital Corporation,25.73,205840000,n/a,n/a,n/a
ARU,Ares Capital Corporation,25.7314,0,n/a,n/a,n/a
ACRE,Ares Commercial Real Estate Corporation,13.73,391068239.9,2012,Consumer Services,Real Estate Investment Trusts
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",16.14,371087248.5,2012,n/a,n/a
ARES,Ares Management L.P.,19.3,4083700471,2014,Finance,Investment Managers
ARES^A,Ares Management L.P.,26.1,0,n/a,n/a,n/a
AGX,"Argan, Inc.",64.85,1002465502,n/a,Basic Industries,Engineering & Construction
ANET,"Arista Networks, Inc.",131.36,9328046995,2014,Technology,Computer Communications Equipment
AI,Arlington Asset Investment Corp,14.02,331266901.3,n/a,Finance,Finance/Investors Services
AIC,Arlington Asset Investment Corp,23.25,0,2015,Finance,Finance/Investors Services
AIW,Arlington Asset Investment Corp,24.4,0,n/a,Finance,Finance/Investors Services
AHH,"Armada Hoffler Properties, Inc.",14.29,537136492.6,2013,Finance,Real Estate
ARR,"ARMOUR Residential REIT, Inc.",23.31,856026626.5,n/a,Consumer Services,Real Estate Investment Trusts
ARR^A,"ARMOUR Residential REIT, Inc.",24.7676,0,n/a,n/a,n/a
ARR^B,"ARMOUR Residential REIT, Inc.",23.74,0,n/a,n/a,n/a
AFI,"Armstrong Flooring, Inc.",18.05,504129388.3,2016,Consumer Non-Durables,Plastic Products
AWI,Armstrong World Industries Inc,44.75,2409334720,n/a,Consumer Non-Durables,Plastic Products
ARW,"Arrow Electronics, Inc.",70.28,6267205295,n/a,Consumer Non-Durables,Electronic Components
AJG,Arthur J. Gallagher & Co.,55.51,9962687170,n/a,Finance,Specialty Insurers
APAM,Artisan Partners Asset Management Inc.,27.55,2088543295,2013,Finance,Investment Managers
ASA,ASA Gold and Precious Metals Limited,12.93,249418471.7,n/a,n/a,n/a
ABG,Asbury Automotive Group Inc,57.55,1216933251,2002,Consumer Durables,Automotive Aftermarket
AHP,"Ashford Hospitality Prime, Inc.",10.82,343827172.5,2013,Consumer Services,Real Estate Investment Trusts
AHP^B,"Ashford Hospitality Prime, Inc.",19.9213,0,n/a,n/a,n/a
AHT,Ashford Hospitality Trust Inc,6.4,619059129.6,2003,Consumer Services,Real Estate Investment Trusts
AHT^A,Ashford Hospitality Trust Inc,25.5,0,n/a,n/a,n/a
AHT^D,Ashford Hospitality Trust Inc,25.37,0,n/a,n/a,n/a
AHT^F,Ashford Hospitality Trust Inc,25.09,0,n/a,n/a,n/a
AHT^G,Ashford Hospitality Trust Inc,24.376,0,n/a,n/a,n/a
ASH,Ashland Global Holdings Inc.,122.24,7605389333,n/a,Consumer Durables,Specialty Chemicals
APB,"Asia Pacific Fund, Inc. (The)",12.25,126714894.3,n/a,n/a,n/a
GRR,"Asia Tigers Fund, Inc. (The)",11.4177,39708077.44,n/a,n/a,n/a
ASPN,"Aspen Aerogels, Inc.",3.98,93011955.24,2014,Consumer Services,RETAIL: Building Materials
AHL,Aspen Insurance Holdings Limited,50.2,3009243819,2003,Finance,Property-Casualty Insurers
AHL^B,Aspen Insurance Holdings Limited,25.4549,0,n/a,n/a,n/a
AHL^C,Aspen Insurance Holdings Limited,27.41,0,n/a,n/a,n/a
AHL^D,Aspen Insurance Holdings Limited,24.12,0,n/a,n/a,n/a
ASB,Associated Banc-Corp,23.25,3543564050,n/a,Finance,Major Banks
ASB^C,Associated Banc-Corp,26.45,0,n/a,n/a,n/a
ASB^D,Associated Banc-Corp,24.3314,0,n/a,n/a,n/a
AC,"Associated Capital Group, Inc.",33.7,817230998.6,2015,Finance,Investment Bankers/Brokers/Service
AIZ,"Assurant, Inc.",92.68,5132085953,2004,Finance,Accident &Health Insurance
AGO,Assured Guaranty Ltd.,37.67,4676006633,2004,Finance,Property-Casualty Insurers
AGO^B,Assured Guaranty Ltd.,26.1652,0,n/a,n/a,n/a
AGO^F,Assured Guaranty Ltd.,24.86,0,n/a,n/a,n/a
AF,Astoria Financial Corporation,19.46,1969888571,n/a,Finance,Savings Institutions
AF^C,Astoria Financial Corporation,25.5495,0,n/a,n/a,n/a
AZN,Astrazeneca PLC,30.14,76268029679,n/a,Health Care,Major Pharmaceuticals
HOME,At Home Group Inc.,14.92,900672178.6,2016,Consumer Services,Home Furnishings
T,AT&T Inc.,40.28,2.4734E+11,n/a,Public Utilities,Telecommunications Equipment
ATTO,Atento S.A.,8.75,645629468.8,2014,Public Utilities,Telecommunications Equipment
ATH,Athene Holding Ltd.,51.69,10356449660,2016,Finance,Life Insurance
ATKR,Atkore International Group Inc.,25.08,1583086091,2016,Miscellaneous,Industrial Machinery/Components
AT,Atlantic Power Corporation,2.5,286624720,n/a,Energy,Electric Utilities: Central
ATO,Atmos Energy Corporation,80.15,8437753980,n/a,Public Utilities,Oil/Gas Transmission
ATW,"Atwood Oceanics, Inc.",8.11,652611545.9,n/a,Energy,Oil & Gas Production
AUO,AU Optronics Corp,4.13,3974813230,2002,Technology,Semiconductors
ATHM,Autohome Inc.,28.9,3267277073,2013,Technology,EDP Services
ALV,"Autoliv, Inc.",96.27,8503011264,n/a,Capital Goods,Auto Parts:O.E.M.
AN,"AutoNation, Inc.",39.43,3979281633,n/a,Consumer Durables,Automotive Aftermarket
AZO,"AutoZone, Inc.",688.46,19557186489,n/a,Consumer Services,Other Specialty Stores
AVB,"AvalonBay Communities, Inc.",186.48,25637393290,n/a,Consumer Services,Real Estate Investment Trusts
AGR,"Avangrid, Inc.",43.25,13367222573,2015,Public Utilities,Electric Utilities: Central
ACP,Avenue Income Credit Strategies Fund,13.86,181206637.9,2011,n/a,n/a
AVY,Avery Dennison Corporation,79.48,7057144446,n/a,Consumer Durables,Containers/Packaging
AVH,Avianca Holdings S.A.,7.49,933429348.4,2013,Transportation,Air Freight/Delivery Services
AVA,Avista Corporation,40.01,2576013762,n/a,Public Utilities,Power Generation
AVT,"Avnet, Inc.",43.6,5619805127,n/a,Consumer Non-Durables,Electronic Components
AVP,"Avon Products, Inc.",4.4,1932922042,n/a,Consumer Non-Durables,Package Goods/Cosmetics
AVX,AVX Corporation,16.13,2706099292,n/a,Capital Goods,Electrical Products
AXTA,Axalta Coating Systems Ltd.,31,7484500283,2014,Basic Industries,Paints/Coatings
AXS,Axis Capital Holdings Limited,65.04,5599341014,2003,Finance,Property-Casualty Insurers
AXS^D,Axis Capital Holdings Limited,25.2088,0,n/a,n/a,n/a
AXS^E,Axis Capital Holdings Limited,23.96,0,n/a,n/a,n/a
AXON          ,Axovant Sciences Ltd.,22,2181557818,2015,Health Care,Major Pharmaceuticals
AZUL,Azul S.A.,21.88,6775251816,2017,Transportation,Air Freight/Delivery Services
AZRE,Azure Power Global Limited,18.45,478149388.2,2016,Public Utilities,Electric Utilities: Central
AZZ,AZZ Inc.,57.35,1488458516,n/a,Consumer Durables,Building Products
BGS,"B&G Foods, Inc.",39.7,2639036618,n/a,Consumer Non-Durables,Packaged Foods
BW,Babcock,8.83,431179787.4,2015,Capital Goods,Building Products
BGH,Babson Global Short Duration High Yield Fund,19.88,398750038.1,2012,n/a,n/a
BMI,"Badger Meter, Inc.",35.35,1029123870,n/a,Capital Goods,Industrial Machinery/Components
BHI,Baker Hughes Incorporated,59.46,25291263194,n/a,Energy,Metal Fabrications
BBN,BalckRock Taxable Municipal Bond Trust,22.48,1283924563,2010,n/a,n/a
BLL,Ball Corporation,71.53,12522482568,n/a,Consumer Durables,Containers/Packaging
BGE^B,Baltimore Gas & Electric Company,26.02,0,n/a,n/a,n/a
BANC,"Banc of California, Inc.",21.05,1047900133,n/a,Finance,Major Banks
