,Unnamed: 0,party,infants,water,budget,physician,salvador,religious,satellite,aid,missile,immigration,synfuels,education,superfund,crime,duty_free_exports,eaa_rsa
103,103,democrat,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
104,104,democrat,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1
105,105,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
106,106,republican,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,107,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
108,108,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
109,109,democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
110,110,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
111,111,democrat,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
112,112,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
113,113,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
114,114,democrat,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
115,115,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
116,116,republican,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
117,117,democrat,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1
118,118,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
119,119,republican,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
120,120,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
121,121,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
122,122,republican,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1
123,123,democrat,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
124,124,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
125,125,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
126,126,democrat,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
127,127,democrat,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1
128,128,democrat,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1
129,129,democrat,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1
130,130,democrat,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
131,131,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
132,132,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
133,133,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
134,134,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
135,135,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1
136,136,democrat,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
137,137,democrat,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
138,138,democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
139,139,republican,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
140,140,republican,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
141,141,republican,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
142,142,democrat,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1
143,143,democrat,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1
144,144,democrat,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1
145,145,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
146,146,democrat,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
147,147,republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
148,148,democrat,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
149,149,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
150,150,democrat,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0
151,151,democrat,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1
152,152,democrat,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
153,153,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
154,154,republican,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0
155,155,republican,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
156,156,democrat,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1
157,157,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
158,158,democrat,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1
159,159,democrat,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
160,160,democrat,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
161,161,democrat,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
162,162,republican,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
163,163,democrat,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1
164,164,democrat,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
165,165,republican,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
166,166,republican,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
167,167,democrat,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1
168,168,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
169,169,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
170,170,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
171,171,democrat,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
172,172,democrat,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1
173,173,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
174,174,democrat,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
175,175,republican,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
176,176,democrat,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1
177,177,democrat,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1
178,178,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
179,179,democrat,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
180,180,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
181,181,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
182,182,democrat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
183,183,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
184,184,democrat,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1
185,185,democrat,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
186,186,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
187,187,republican,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1
188,188,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
189,189,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
190,190,republican,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1
191,191,democrat,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1
192,192,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
193,193,democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
194,194,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
195,195,democrat,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1
196,196,republican,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
197,197,democrat,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
198,198,democrat,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1
199,199,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
200,200,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
201,201,democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
202,202,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
203,203,republican,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1
204,204,democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
205,205,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
206,206,republican,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1
207,207,democrat,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1
208,208,democrat,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
209,209,democrat,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
210,210,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
211,211,democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
212,212,democrat,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
213,213,republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
214,214,democrat,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
215,215,democrat,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1
216,216,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
217,217,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
218,218,democrat,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1
219,219,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
220,220,democrat,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1
221,221,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
222,222,republican,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
223,223,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
224,224,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
225,225,democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
226,226,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
227,227,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
228,228,republican,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
229,229,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
230,230,republican,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
231,231,democrat,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
232,232,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
233,233,democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1
234,234,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
235,235,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
236,236,democrat,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
237,237,democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
238,238,republican,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
239,239,republican,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
240,240,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
241,241,republican,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1
242,242,democrat,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
243,243,democrat,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
244,244,democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
245,245,democrat,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1
246,246,republican,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
247,247,republican,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,248,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
249,249,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
250,250,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
251,251,democrat,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
252,252,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
253,253,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
254,254,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
255,255,republican,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
256,256,republican,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1
257,257,democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
258,258,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
259,259,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
260,260,democrat,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1
261,261,democrat,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
262,262,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
263,263,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
264,264,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
265,265,republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
266,266,republican,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
267,267,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
268,268,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
269,269,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
270,270,democrat,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1
271,271,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
272,272,republican,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1
273,273,republican,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
274,274,democrat,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
275,275,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
276,276,republican,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
277,277,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
278,278,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
279,279,democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
280,280,republican,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1
281,281,republican,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
282,282,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
283,283,democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
284,284,democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
285,285,democrat,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
286,286,democrat,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1
287,287,democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
288,288,democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1
289,289,democrat,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1
290,290,democrat,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1
291,291,democrat,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
292,292,democrat,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
293,293,democrat,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1
294,294,republican,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
295,295,republican,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
296,296,democrat,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1
297,297,democrat,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
298,298,democrat,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
299,299,republican,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
300,300,democrat,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
301,301,republican,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1
302,302,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
303,303,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
304,304,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
305,305,republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
306,306,democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1
307,307,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
308,308,democrat,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
309,309,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
310,310,democrat,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
311,311,democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
312,312,republican,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
313,313,republican,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
314,314,republican,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
315,315,democrat,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
316,316,democrat,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
317,317,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
318,318,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
319,319,democrat,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
320,320,democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
321,321,democrat,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1
322,322,democrat,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1
323,323,republican,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
324,324,democrat,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1
325,325,democrat,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
326,326,republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
327,327,democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
328,328,democrat,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
329,329,republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
330,330,democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
331,331,democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
332,332,democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
333,333,democrat,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1
334,334,republican,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1
335,335,democrat,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1
336,336,democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
337,337,democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
338,338,republican,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
339,339,republican,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1
340,340,democrat,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
341,341,democrat,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1
342,342,republican,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1
343,343,democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
344,344,republican,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
345,345,republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
346,346,republican,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
347,347,democrat,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1
348,348,republican,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
